fibra,fosfolipidos,grasa,humedad,proteina_dumas,tyr,O2_am,T_am,pH_am,ph,TA_porcentaje_,TC_porcentaje_,IC,ROI,Semana,sobrevivencia_limpia,fibra_min_real,fibra_max_real,fosfolipidos_min_real,fosfolipidos_max_real,grasa_min_real,grasa_max_real,humedad_min_real,humedad_max_real,proteina_dumas_min_real,proteina_dumas_max_real,tyr_min_real,tyr_max_real,O2_am_min_real,O2_am_max_real,T_am_min_real,T_am_max_real,pH_am_min_real,pH_am_max_real,ph_min_real,ph_max_real,TA_porcentaje__min_real,TA_porcentaje__max_real,TC_porcentaje__min_real,TC_porcentaje__max_real
0,0,4,9,8,8,7,0,2,5,2,0,0.4075,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,7.294,7.817,12.296,12.587,40.656,41.508,1.379,1.42,6.82,7.08,23.7,24.68,7.538,7.682,7.272,7.564,0.94,1.01,0.87,0.923
0,0,5,9,6,8,4,6,9,5,2,0,0.3962500000000002,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,38.953,39.805,1.379,1.42,6.04,6.3,29.58,30.56,8.546,8.69,7.272,7.564,0.94,1.01,0.87,0.923
0,0,5,9,6,8,8,0,3,4,2,0,0.16,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,38.953,39.805,1.379,1.42,7.08,7.34,23.7,24.68,7.682,7.826,6.981,7.272,0.94,1.01,0.87,0.923
0,0,5,9,7,8,1,4,0,4,3,0,0.06713958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,39.805,40.656,1.379,1.42,5.26,5.52,27.62,28.6,7.25,7.394,6.981,7.272,1.01,1.08,0.87,0.923
0,0,5,9,7,8,2,4,0,4,2,0,0.325,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,39.805,40.656,1.379,1.42,5.52,5.78,27.62,28.6,7.25,7.394,6.981,7.272,0.94,1.01,0.87,0.923
0,0,5,9,7,8,2,4,0,5,2,0,0.3872756410256409,-1.0,2.0,96.9166666666666,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,39.805,40.656,1.379,1.42,5.52,5.78,27.62,28.6,7.25,7.394,7.272,7.564,0.94,1.01,0.87,0.923
0,0,5,9,7,8,2,4,0,5,3,0,0.05713958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,39.805,40.656,1.379,1.42,5.52,5.78,27.62,28.6,7.25,7.394,7.272,7.564,1.01,1.08,0.87,0.923
0,0,5,9,7,8,4,1,1,4,3,0,0.04513958333333334,-1.0,2.0,99.4166666666666,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,39.805,40.656,1.379,1.42,6.04,6.3,24.68,25.66,7.394,7.538,6.981,7.272,1.01,1.08,0.87,0.923
0,0,5,9,7,8,5,3,3,5,3,0,0.028279166666666668,-1.0,1.0,99.7083333333333,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,39.805,40.656,1.379,1.42,6.3,6.56,26.64,27.62,7.682,7.826,7.272,7.564,1.01,1.08,0.87,0.923
0,0,5,9,7,8,5,4,6,5,3,0,0.09386025132275133,-1.0,3.0,80.76923076923077,0.926,1.153,0.585,0.751,7.817,8.34,12.296,12.587,39.805,40.656,1.379,1.42,6.3,6.56,27.62,28.6,8.114,8.258,7.272,7.564,1.01,1.08,0.87,0.923
